,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Energy Eigenvalue,-423.4686236,-414.4069497,-403.9257502,-392.6052014,-383.4475725,-378.1110323,-241.9374477,-231.2529453,-221.5465823,-220.0956351,-214.5193667,-211.647236,-210.5239716,-204.1546203,-202.1530648,-199.54695,-195.891751,-192.9016493,-190.7666222,-185.3856827,-183.4886056,-180.0833486,-176.0972006,-174.1576795,-165.7686636,-154.4046794,-17.34836796,-9.083362647,0.165420851,11.27378959,21.56404818,30.29293827
Probability,0.059175363,0.161017911,0.209748821,0.312692648,0.177598281,0.067320546,0.00139971,0.000369,8.61E-05,0.00127959,7.52E-05,0.001706615,0.000607882,2.55E-05,0.001083748,0.000189755,0.000113772,0.000253781,5.78E-05,6.09E-07,0.000242485,0.004063096,0.000205076,7.70E-05,0.000514871,7.94E-05,1.27E-06,3.79E-06,9.58E-07,8.66E-07,2.21E-06,6.31E-06
0,1.85E-05,2.74E-08,2.84E-06,9.27E-07,1.32E-06,2.51E-05,0.001251138,0.000288113,0.000143911,0.000665773,0.003812018,2.46E-06,0.000155373,0.000251935,8.07E-05,0.000493454,0.000486025,0.000365795,3.19E-05,0.000152119,0.004851695,2.29E-05,0.000398073,0.000263385,0.00029134,0.00179845,0.102268172,0.195509644,0.2645105,0.25077124,0.158422026,0.012663172
10000,0.003081947,0.000427828,7.35E-05,0.000275991,0.000171254,0.004002105,0.019144669,0.0309744,0.009911654,0.115130076,0.102745417,0.029569716,0.001806487,0.085299229,0.013962964,0.158679802,0.037136081,0.072459935,0.020081727,0.005511785,0.155188722,0.019735202,0.016882713,0.050594098,0.026649911,0.016617152,0.000402872,0.000775706,0.001037786,0.000996471,0.000621802,5.10E-05
1000,0.00026692,0.000707352,0.001351138,0.000862897,0.000672896,0.00018145,0.088607783,0.001296862,0.05563937,0.00431378,0.083643632,0.004819637,0.23764795,0.019681894,0.034059724,0.020264118,0.006561601,0.00720841,0.037792499,0.096819503,0.115942079,0.102921697,0.004344774,0.007573294,0.000123846,0.062777315,0.000420354,0.000739278,0.001086869,0.000999863,0.000612356,5.89E-05
11000,0.000892687,0.000712062,0.000258026,0.000244722,0.001648058,0.000380822,0.093530433,0.020605586,0.119672373,0.081937288,0.055550304,0.004548799,0.00033441,0.086354514,0.019183669,0.029141117,0.043283768,0.052602533,0.006506681,7.21E-06,0.132274863,0.009022128,0.100923461,0.029829951,0.017377785,0.093114067,6.05E-06,1.42E-05,1.27E-05,2.09E-05,6.96E-06,1.93E-06
100,0.000581679,0.00119757,0.00035642,0.000124091,0.000825853,0.000940295,0.032066909,0.119143953,0.09007326,0.002384965,0.054949459,0.039114345,0.001684824,0.050373753,0.132356702,0.031652006,0.000429009,0.051909933,0.100676102,0.006722752,0.050587882,0.029232134,0.104063884,0.002068004,0.067895479,0.024613143,0.000263671,0.001014494,0.001161377,0.000771692,0.000654324,0.000110035
10100,0.140128933,0.301482183,0.081191689,0.02696355,0.212297112,0.225742542,0.001809948,0.000430583,0.000143774,0.001545138,0.000225174,0.00047329,9.92E-05,0.000121159,0.001393694,0.000685409,0.000479777,0.00030577,0.001186968,1.14E-05,0.00047854,0.000719233,5.99E-05,0.000522147,0.000206936,0.001279657,9.63E-07,4.77E-06,3.71E-06,4.08E-06,2.05E-06,7.26E-07
1100,2.42E-05,1.04E-06,4.92E-05,2.62E-05,1.59E-07,2.89E-05,0.128615741,0.138064381,0.004207315,0.00066774,0.015005003,0.032566715,0.092399538,0.001276808,9.53E-05,0.053097469,0.193941201,0.004547494,0.00080753,0.090813151,0.014208291,0.000284358,0.006647327,0.001599185,0.102349759,0.118557992,1.60E-05,1.32E-07,6.14E-05,1.25E-05,6.96E-07,2.74E-05
11100,0.000691012,0.000960004,0.000407908,7.63E-05,0.001150645,0.000699685,0.070558808,0.012210087,0.092838886,0.040072055,0.140084079,0.000316185,0.008630608,0.057034817,0.002810129,0.048666019,0.01031527,0.110139979,0.02072567,0.007454693,0.048616696,0.00564869,0.136794019,0.032791746,0.026998171,0.123251096,3.93E-08,6.59E-06,7.27E-06,2.13E-05,8.46E-06,1.31E-05
10,0.00229548,0.001260889,2.62E-05,7.14E-05,0.002384155,0.001947222,0.000837418,0.01462312,0.049099092,0.021249167,0.032652206,0.122061608,0.034591082,0.047167992,0.190407519,0.066982665,0.075168698,0.040710285,0.114889966,0.114546572,0.005641194,0.00173552,0.030924367,0.011321345,0.008931651,0.000631421,0.003789095,0.000705881,9.16E-07,0.000215314,0.002413043,0.000717566
10010,0.316295403,0.037458663,0.219733644,0.13278563,0.078372803,0.203485291,0.000310694,0.000573119,0.001234746,0.001764876,0.000423333,8.10E-05,9.59E-06,2.11E-05,0.001347146,0.001844261,0.000801546,1.15E-06,0.00021264,4.24E-05,0.000373761,0.000352458,0.000457694,0.001405749,0.000336546,0.000243441,1.46E-05,3.37E-06,3.41E-08,1.37E-06,8.42E-06,3.46E-06
1010,0.062098448,0.180658923,0.320970296,0.208728506,0.171926348,0.039530734,0.002204404,0.000555025,0.000469303,5.96E-08,0.000186608,0.003708361,0.001549186,0.000120317,0.000268217,0.000639703,0.00022454,7.64E-07,0.000611473,1.51E-05,4.65E-05,0.003192843,0.000871295,0.00020379,0.000154511,0.001017694,2.48E-05,3.25E-07,3.46E-06,8.76E-07,3.68E-06,1.40E-05
11010,0.183694406,0.230468239,0.042797033,0.064849325,0.325899193,0.140345231,0.001692162,0.000480949,0.000150468,0.000653086,0.000699889,0.000366628,2.75E-05,0.000316122,0.001639428,0.000336075,0.000580329,3.88E-05,0.001135282,2.05E-08,0.000215285,0.000672588,2.13E-05,0.001445432,0.000170493,0.001289922,5.78E-08,1.43E-06,2.95E-06,4.75E-06,1.81E-06,3.82E-06
110,0.001090984,0.000223673,0.000288639,0.001284263,0.000188779,0.001027679,0.011786039,0.089372958,0.140564444,0.061512919,0.034948957,0.125627026,0.019797506,0.00092807,0.009684844,0.000122983,0.008530469,0.023832582,0.05124567,0.158825498,0.015892615,0.002604548,0.122164332,0.040892189,0.06346574,0.010257451,0.000490197,0.001243537,0.000152094,0.000868563,0.000109813,0.000974939
