,Time,"I(1,7) tq = linear flat","I(1,7) tq = 10","I(1,7) tq = 100"
0,0.0,-5.462509124095878e-16,-5.462509124095878e-16,-5.462509124095878e-16
1,0.001,6.308193171381676e-16,1.5416541741114509e-15,-6.866709756142217e-16
2,0.002,2.757010928149811e-15,1.9493006384388445e-15,3.005543947401379e-15
3,0.003,1.112269456225723e-14,1.3367101479519472e-14,1.2912278668161803e-14
4,0.004,4.376967538410881e-14,4.553817175775854e-14,4.565195877576089e-14
5,0.005,1.2065207773831466e-13,1.240588578046986e-13,1.2105447937463265e-13
6,0.006,2.7013081441845666e-13,2.8228938284136085e-13,2.70889972779631e-13
7,0.007,5.290426300166851e-13,5.626781592743546e-13,5.328327839712599e-13
8,0.008,9.258639861731144e-13,1.0092029208846887e-12,9.353752581514607e-13
9,0.009000000000000001,1.481095628086404e-12,1.6645452377561654e-12,1.4989216465255417e-12
10,0.01,2.190522936651451e-12,2.5600693440153144e-12,2.2278810740683497e-12
11,0.011,3.0273236174827023e-12,3.710145472096693e-12,3.0994798741468266e-12
12,0.012,3.941138214391682e-12,5.102048991623143e-12,4.062784830782817e-12
13,0.013000000000000001,4.857659413604054e-12,6.703936017427026e-12,5.054774307455823e-12
14,0.014,5.7036424194745194e-12,8.470810858307587e-12,5.996449864431597e-12
15,0.015,6.405998995151485e-12,1.0347613391137322e-11,6.819851974815272e-12
16,0.016,6.92547061365012e-12,1.2296106841058752e-11,7.487382241988527e-12
17,0.017,7.26892331048834e-12,1.4303284251449e-11,7.989345296444128e-12
18,0.018000000000000002,7.480675801030401e-12,1.6398226526659343e-11,8.36962443795386e-12
19,0.019,7.638608495730281e-12,1.864160908970902e-11,8.696696141008431e-12
20,0.02,7.841519100715288e-12,2.1116192128189937e-11,9.056151661912537e-12
21,0.021,8.15573303336592e-12,2.389551750914265e-11,9.520693261544366e-12
22,0.022,8.61821725095524e-12,2.701444623554039e-11,1.0109659637214108e-11
23,0.023,9.192060307361416e-12,3.0416925922427396e-11,1.0784626663928876e-11
24,0.024,9.780933007963455e-12,3.3941488508659745e-11,1.1439647840116862e-11
25,0.025,1.0259706278992198e-11,3.733169329223074e-11,1.1930317844743854e-11
26,0.026000000000000002,1.0497297475708933e-11,4.025028227383487e-11,1.2113129943536194e-11
27,0.027,1.041677161195409e-11,4.235871375879441e-11,1.1893715179400743e-11
28,0.028,1.0028776420423213e-11,4.3406514493860016e-11,1.1279824296828167e-11
29,0.029,9.427028602182475e-12,4.3328320098456885e-11,1.0391215665706e-11
30,0.03,8.778311411106188e-12,4.235267692109801e-11,9.449635518521404e-12
31,0.031,8.278849827902945e-12,4.104360601386858e-11,8.72333455470553e-12
32,0.032,8.076282698166182e-12,4.0285649816063085e-11,8.468427348251595e-12
33,0.033,8.257117212195908e-12,4.112338941597571e-11,8.847741983508683e-12
34,0.034,8.818869245974525e-12,4.441631090701392e-11,9.908823761506369e-12
35,0.035,9.69603564104915e-12,5.03751623748272e-11,1.1574644021017377e-11
36,0.036000000000000004,1.082173239908002e-11,5.821009646522768e-11,1.3675935384149795e-11
37,0.037,1.2173581587227034e-11,6.635558769119143e-11,1.6020795801097165e-11
38,0.038,1.3820285194032778e-11,7.339271551609627e-11,1.852482056641236e-11
39,0.039,1.6004510217104695e-11,7.93653337494149e-11,2.144731614528439e-11
40,0.04,1.9178922339158078e-11,8.670487938733373e-11,2.5871332853810713e-11
41,0.041,2.4110879959238218e-11,1.0038959941116588e-10,3.451831181999765e-11
42,0.042,3.198248610392085e-11,1.272471017443877e-10,5.29814941918616e-11
43,0.043000000000000003,4.4526174414194486e-11,1.7483590963873752e-10,9.142701873354753e-11
44,0.044,6.422774811998266e-11,2.5013147109120837e-10,1.6678535635916703e-10
45,0.045,9.473484496869133e-11,3.583484897706768e-10,3.0557131824870964e-10
46,0.046,1.417032047257294e-10,5.0211360069774e-10,5.478046904983103e-10
47,0.047,2.145880625969987e-10,6.813315467368852e-10,9.528722602625272e-10
48,0.048,3.301923040543997e-10,8.943974449948655e-10,1.6087782980789278e-09
49,0.049,5.192726110214707e-10,1.1418543610641763e-09,2.646914548654067e-09
50,0.05,8.379253263468556e-10,1.4343994880761102e-09,4.265217810883737e-09
51,0.051000000000000004,1.385834350053905e-09,1.8080796304609237e-09,6.763456981973004e-09
52,0.052000000000000005,2.333273310672901e-09,2.3505276613988713e-09,1.0595032802485083e-08
53,0.053,3.957704455825883e-09,3.2424901930117045e-09,1.6440006474216506e-08
54,0.054,6.688423218048634e-09,4.818154736296876e-09,2.5302689339590234e-08
55,0.055,1.1153871881663946e-08,7.644285843211307e-09,3.8633151393241416e-08
56,0.056,1.8221091538372924e-08,1.2610767152754221e-08,5.846209086279863e-08
57,0.057,2.9011867699879623e-08,2.1012506790096808e-08,8.752037466280838e-08
58,0.058,4.4876983740227416e-08,3.458510244858104e-08,1.2928465387140875e-07
59,0.059000000000000004,6.731185180075538e-08,5.5437886642417666e-08,1.8784998197240999e-07
60,0.06,9.780539309001135e-08,8.58183977769933e-08,2.6749120725366726e-07
61,0.061,1.376302439931587e-07,1.2765942619674675e-07,3.717707092801281e-07
62,0.062,1.8760355938174378e-07,1.8192573503217346e-07,5.021446171787902e-07
63,0.063,2.478678296918835e-07,2.4789919919609993e-07,6.562821764852234e-07
64,0.064,3.177529999398576e-07,3.226835049996435e-07,8.267269236000852e-07
65,0.065,3.957775860929935e-07,4.0127423772684523e-07,1.0008510750586508e-06
66,0.066,4.798259270050176e-07,4.774111909133794e-07,1.1628302149929715e-06
67,0.067,5.675047643621811e-07,5.450928654560094e-07,1.2973613508354687e-06
68,0.068,6.566456051682046e-07,6.002683393124819e-07,1.3936384782170519e-06
69,0.069,7.458916117114578e-07,6.421023302227713e-07,1.4478012315549682e-06
70,0.07,8.353000268412902e-07,6.734411526210238e-07,1.4630624761077793e-06
71,0.07100000000000001,9.269078082296822e-07,7.005091378076145e-07,1.448079132798652e-06
72,0.07200000000000001,1.025246729208229e-06,7.321535672732971e-07,1.4147528654279151e-06
73,0.073,1.137846865256753e-06,7.790051767542217e-07,1.3763859491103259e-06
74,0.074,1.2758237181720311e-06,8.528077141412016e-07,1.346541200888951e-06
75,0.075,1.4546971972562162e-06,9.66036939720194e-07,1.338547955337388e-06
76,0.076,1.6956366154091684e-06,1.1318635293466883e-06,1.3654664945544903e-06
77,0.077,2.0273641983536983e-06,1.36452773819018e-06,1.4403724443723398e-06
78,0.078,2.488974669256905e-06,1.6802613609367967e-06,1.576941169950663e-06
79,0.079,3.1339221131798656e-06,2.098983904075258e-06,1.790445563421006e-06
80,0.08,4.035349753170325e-06,2.6470891890117976e-06,2.0994150325415184e-06
81,0.081,5.292738572915123e-06,3.361695507742013e-06,2.5283350939264704e-06
82,0.082,7.039467898886653e-06,4.296709080031658e-06,3.111876913639011e-06
83,0.083,9.450287051543382e-06,5.530866737823992e-06,3.901178972059993e-06
84,0.084,1.2746940723742939e-05,7.1774629105125776e-06,4.97254989564877e-06
85,0.085,1.719944606558277e-05,9.394595471112765e-06,6.438453268003963e-06
86,0.08600000000000001,2.3120094914813594e-05,1.2393403453436758e-05,8.459575155717047e-06
87,0.08700000000000001,3.084752677680325e-05,1.644002710338155e-05,1.1255045723371215e-05
88,0.088,4.071947720712954e-05,2.1845393495811827e-05,1.5105660694528233e-05
89,0.089,5.3035063196871235e-05,2.8936458721429137e-05,2.0342962451305735e-05
90,0.09,6.801032943559715e-05,3.800469283504748e-05,2.731673982390992e-05
91,0.091,8.573349235790895e-05,4.92336330913945e-05,3.633674460432057e-05
92,0.092,0.00010612799904624604,6.261705576221521e-05,4.759242943072617e-05
93,0.093,0.00012893148593182135,7.78898015014462e-05,6.106625646715158e-05
94,0.094,0.00015369678646612317,9.449886566428867e-05,7.646705577946111e-05
95,0.095,0.00017981769565653116,0.00011163710342587674,9.321280101340368e-05
96,0.096,0.0002065781088954749,0.0001283441757201076,0.00011048137220801002
97,0.097,0.00023321942271299634,0.0001436553059447898,0.00012732515022259583
98,0.098,0.00025901853637093353,0.00015676002292452917,0.0001428214803869815
99,0.099,0.00028336782453036724,0.00016713050453337486,0.00015621943654497983
100,0.1,0.00030584900092152367,0.00017459318185000794,0.00016704976193529508
101,0.101,0.00032629447493219554,0.00017933900786459844,0.0001751829350570555
102,0.10200000000000001,0.00034483211523811397,0.00018188583635453393,0.00018083451428063668
103,0.10300000000000001,0.00036191182948097644,0.00018301437664414166,0.0001845309976915288
104,0.10400000000000001,0.0003783147178636759,0.0001836978685590962,0.00018705227010809566
105,0.105,0.0003951475197447457,0.0001850394638838182,0.000189364077220755
106,0.106,0.00041382641742250537,0.00018822465628631768,0.00019255011276794742
107,0.107,0.00043605472647462173,0.0001944912375622665,0.00019774998008637024
108,0.108,0.0004637983114016836,0.00020511646920395865,0.000206107105192338
109,0.109,0.0004992605333816319,0.00022141968656158584,0.00021872941357059528
110,0.11,0.0005448552271265367,0.0002447773914616147,0.00023666475509168117
111,0.111,0.0006031720873344304,0.0002766462160129213,0.0002608921974209255
112,0.112,0.0006769248789624954,0.00031858650006327816,0.00029232897867748076
113,0.113,0.0007688704265809698,0.0003722756478271583,0.00033185068091290404
114,0.114,0.0008816868376354953,0.0004394965697876174,0.00038031862177251297
115,0.115,0.0010178039462640093,0.0005220837531891565,0.000438603314506153
116,0.116,0.0011791877257091438,0.0006218098135973016,0.0005075865085821807
117,0.117,0.0013670923958011144,0.0007402007787552789,0.0005881185080526818
118,0.11800000000000001,0.0015818068767254195,0.0008782799497041027,0.0006809058776013621
119,0.11900000000000001,0.0018224328776812598,0.001036257197171292,0.0007863131380361765
120,0.12,0.002086736727443847,0.0012131999972126162,0.0009040871309956566
121,0.121,0.0023711132381587924,0.001406739896482656,0.0010330561735515387
122,0.122,0.002670686537360481,0.0016128788403010907,0.001170904708056808
123,0.123,0.002979551806167227,0.001825960341781535,0.0013141436726948896
124,0.124,0.0032911379219389553,0.002038858333472282,0.0014583514580221446
125,0.125,0.003598650334046216,0.002243409758757864,0.0015986567604962532
126,0.126,0.003895541598930824,0.0024310748734074072,0.0017303365938178827
127,0.127,0.004175956511184645,0.0025937560945284432,0.001849375342212134
128,0.128,0.004435108588638492,0.0027246554776785836,0.00195287721545076
129,0.129,0.004669560745624746,0.0028190238140244628,0.002039295868106583
130,0.13,0.004877400243035693,0.0028746690343102177,0.0021084967982455127
131,0.131,0.005058312282603894,0.002892148310830983,0.002161689204515288
132,0.132,0.0052135657500580745,0.002874644931856879,0.002201264741174158
133,0.133,0.005345928409381459,0.0028275961196132515,0.002230573972805072
134,0.134,0.005459528373957551,0.0027581699265459003,0.0022536645495503382
135,0.135,0.005559675429165814,0.0026746865142396603,0.002275000461723936
136,0.136,0.005652651131964143,0.002586054630281165,0.002299179063488921
137,0.137,0.005745471634858612,0.0025012640773186823,0.0023306610180994225
138,0.138,0.005845622723361046,0.0024289501461049468,0.0023735269584620466
139,0.139,0.005960763427772062,0.0023770300064640815,0.002431272618146657
140,0.14,0.006098393655288692,0.002352402956839167,0.0025066507898371393
141,0.14100000000000001,0.006265483492111534,0.002360703775064782,0.002601563304601734
142,0.14200000000000002,0.006468067835183222,0.0024060991903771534,0.002716999308329554
143,0.14300000000000002,0.006710819925704589,0.002491120732640073,0.002853008116147915
144,0.14400000000000002,0.006996630275716925,0.002616532649797082,0.003008687588771597
145,0.145,0.00732623123853729,0.002781240993439432,0.0031821656016134403
146,0.146,0.0076979186489526535,0.0029822584405664876,0.0033705578156249527
147,0.147,0.008107426332657597,0.0032147468176533245,0.0035699051277580107
148,0.148,0.008548002872416652,0.0034721622092735993,0.0037751304920138895
149,0.149,0.009010720601071165,0.003746521999555913,0.003980097110568986
150,0.15,0.009485015539220085,0.004028796463209611,0.004177870262361716
151,0.151,0.00995941936870072,0.004309400653635803,0.004361246446079714
152,0.152,0.01042240949241896,0.004578732326117996,0.004523504956917418
153,0.153,0.01086328041387305,0.004827680833777687,0.004659210015882237
154,0.154,0.011272935494743369,0.005048033012665404,0.0047648410714947464
155,0.155,0.011644512943228505,0.005232729989917778,0.0048391040057621515
156,0.156,0.011973787891525686,0.005375975350507267,0.0048829186737096575
157,0.157,0.01225932478270357,0.005473241330441747,0.004899181551551779
158,0.158,0.012502383156608607,0.005521246330439489,0.004892416722575871
159,0.159,0.012706601271385856,0.005517974376568785,0.004868385337501224
160,0.16,0.012877495908777847,0.005462778281651204,0.0048336771542036305
161,0.161,0.01302182568396612,0.005356565090298304,0.004795285336428701
162,0.162,0.013146871848841751,0.005202019579655992,0.004760165757954293
163,0.163,0.013259696140191846,0.005003792120888362,0.004734792424977818
164,0.164,0.013366439044660977,0.004768569708429038,0.0047247315524637234
165,0.165,0.013471722030053118,0.00450496566603098,0.004734263870755706
166,0.166,0.01357821169251093,0.0042231992712137845,0.004766086933895908
167,0.167,0.013686391028511782,0.003934580209598859,0.004821126924123842
168,0.168,0.01379456325128052,0.0036508515746039305,0.00489848326591924
169,0.169,0.013899088527224726,0.0033834695091272127,0.004995519712057028
170,0.17,0.013994827029748608,0.0031429041700051785,0.005108102795191749
171,0.171,0.014075737086363754,0.0029380379499943654,0.005230973100913139
172,0.17200000000000001,0.014135559304518125,0.002775718413586259,0.005358217491307576
173,0.17300000000000001,0.014168509741755472,0.002660500806918209,0.005483792631614748
174,0.17400000000000002,0.014169908664318234,0.002594591901076304,0.0056020345084262235
175,0.17500000000000002,0.014136684763993906,0.002577984515897913,0.005708079261893234
176,0.176,0.014067714156815292,0.00260875008935052,0.005798123555115942
177,0.177,0.013963974510818475,0.0026834352320234123,0.005869474682401898
178,0.178,0.013828513663544525,0.0027974898098934164,0.005920386340538153
179,0.179,0.013666247661162992,0.0029456445148074994,0.005949742332620883
180,0.18,0.013483615805815238,0.003122162884594326,0.005956719324818671
181,0.181,0.013288131166913936,0.0033209219728118633,0.00594059476558112
182,0.182,0.013087874301424288,0.0035353255286619256,0.0059008252532996575
183,0.183,0.012890984249741846,0.0037581114486213707,0.005837393497344662
184,0.184,0.012705201790865095,0.003981161720155002,0.00575126757529712
185,0.185,0.012537513238557951,0.00419543920507337,0.005644742506770772
186,0.186,0.012393927919427339,0.004391152445449242,0.005521502811029699
187,0.187,0.012279400008956776,0.004558192772141534,0.005386399807834091
188,0.188,0.012197878582207222,0.004686815251677134,0.005245060241918953
189,0.189,0.012152443012413777,0.0047684693324202,0.005103467208619955
190,0.19,0.012145459685235102,0.004796645389391008,0.00496760373777172
191,0.191,0.012178686163490701,0.0047675979601958796,0.004843182629501591
192,0.192,0.012253255263264665,0.004680831501690519,0.004735441529848894
193,0.193,0.012369495997735111,0.004539278507948108,0.004648966926315612
194,0.194,0.012526588370365382,0.004349150353875397,0.00458751619209033
195,0.195,0.012722096680649539,0.0041194891003408785,0.004553822573243355
196,0.196,0.012951469846529673,0.0038614879916621936,0.004549386358556284
197,0.197,0.01320762564528409,0.003587675257053835,0.004574271053483486
198,0.198,0.013480740829996535,0.003311066290579423,0.00462693246709614
199,0.199,0.013758348868168374,0.0030443809032384417,0.0047041092655944194
200,0.2,0.014025805562051533,0.0027993959264690504,0.004800796327543294
201,0.201,0.014267128128350737,0.0025864641101316366,0.00491031079727694
202,0.202,0.014466155216314641,0.0024141867913313186,0.005024451624864784
203,0.203,0.01460792326385875,0.0022891906504468595,0.005133754850298447
204,0.20400000000000001,0.014680116266266835,0.0022159376207324666,0.00522786572072427
205,0.20500000000000002,0.014674426740695398,0.002196498442297745,0.005296083204802779
206,0.20600000000000002,0.014587667906150403,0.0022302472636474002,0.0053281608636236155
207,0.20700000000000002,0.014422500549940112,0.0023134855547309874,0.005315422016047497
208,0.20800000000000002,0.014187679813665602,0.002439072241259499,0.005252115802177618
209,0.209,0.01389778204971745,0.0025962117677659213,0.005136720406462833
210,0.21,0.013572432913682056,0.0027706137267266007,0.0049727295702497315
211,0.211,0.01323511639054939,0.0029452578405362306,0.004768523407016861
212,0.212,0.012911691212373802,0.00310193805333292,0.004536255825091498
213,0.213,0.012628767829683432,0.003223583934331198,0.004290083054890162
214,0.214,0.012412101041448742,0.003297070059567031,0.004044252577019014
215,0.215,0.012285131696511159,0.0033159158102598063,0.003811494489054837
216,0.216,0.012267772775998415,0.003282128452822941,0.0036019295853436106
217,0.217,0.012375491467188804,0.0032066018986058875,0.003422488893301004
218,0.218,0.01261869980163241,0.0031079087699432684,0.0032767124949559523
219,0.219,0.013002438293684263,0.0030097758736711278,0.0031647754216807683
220,0.22,0.013526320995413038,0.002937790919713801,0.0030836614431911658
221,0.221,0.014184704121884273,0.0029159192713088533,0.0030275395293124646
222,0.222,0.014967040428632589,0.002963323408250451,0.0029885156404202418
223,0.223,0.015858385142529005,0.003091878989047392,0.0029579018088174702
224,0.224,0.016840025053577415,0.003304699536374689,0.0029278675815961885
225,0.225,0.017890209606288315,0.0035958941529574684,0.0028929456475484394
226,0.226,0.01898497030398641,0.0039516586666275,0.002850737397182057
227,0.227,0.02009902026831281,0.004352628187827001,0.002801538076136062
228,0.228,0.021206726618061056,0.00477721252207397,0.0027471845039912512
229,0.229,0.022283142433754413,0.0052054325549840685,0.0026897348694037426
230,0.23,0.023305072560583492,0.005622625740113074,0.002630493719645133
231,0.231,0.024252131072636796,0.006022339500869056,0.0025696148623610415
232,0.232,0.02510773245387056,0.006407810306160888,0.0025062692585431368
233,0.233,0.02585994840481494,0.0067916297279606574,0.0024392241881119325
234,0.234,0.026502161418406972,0.007193491944735841,0.0023676224974674143
235,0.23500000000000001,0.02703345625879537,0.007636245596911007,0.0022917413057643166
236,0.23600000000000002,0.02745870972408443,0.008140780642637013,0.0022135304810164125
237,0.23700000000000002,0.02778836368428693,0.008720524076450298,0.002136780674332761
238,0.23800000000000002,0.028037891624179273,0.009376469006515564,0.0020668487423492754
239,0.23900000000000002,0.0282269912421117,0.010093701096259733,0.0020099649125943364
240,0.24,0.028378553840799445,0.01084029554424848,0.001972240025370442
241,0.241,0.02851747549711002,0.011569211041107974,0.001958560562520417
242,0.242,0.028669384682754304,0.012223380185188759,0.001971591240839621
243,0.243,0.02885936369094874,0.012743592875801957,0.0020110975871974746
244,0.244,0.029110734878103436,0.013078066446898906,0.0020737562807894294
245,0.245,0.029443969225815242,0.013191974880262358,0.0021535411472464183
246,0.246,0.029875760147924854,0.013074927050547913,0.00224266263688061
247,0.247,0.030418295675349538,0.012744651902495185,0.002332914100012684
248,0.248,0.03107875774505231,0.01224596879369333,0.002417168210214371
249,0.249,0.03185907321586201,0.011645227540203584,0.0024907062419222137
250,0.25,0.032755931144181225,0.011021395494002606,0.0025520773228806526
251,0.251,0.03376106211970953,0.010455548316547492,0.0026032785026272043
252,0.252,0.03486175050045487,0.010020618519307245,0.002649199068075314
253,0.253,0.036041524950403414,0.009772987055971294,0.002696444934386255
254,0.254,0.037280953376107165,0.009747036289702193,0.0027518050275245343
255,0.255,0.038558461046965725,0.00995324492530636,0.0028207018348312962
256,0.256,0.039851099752437405,0.010379867250957298,0.002905962196498857
257,0.257,0.0411352233077595,0.01099774000865128,0.0030071573197813506
258,0.258,0.04238706839205987,0.011767337995368998,0.003120622288005692
259,0.259,0.04358329089435409,0.012646900001962114,0.0032401175071621324
260,0.26,0.04470155060364912,0.013600316163270398,0.00335797718078934
261,0.261,0.04572125107613759,0.01460353504299694,0.003466524941377891
262,0.262,0.04662451068793966,0.015648509090405938,0.0035595218251936456
263,0.263,0.04739736271496944,0.01674410702758755,0.0036334264692453044
264,0.264,0.04803107349613783,0.017913908157684566,0.0036882710992508505
265,0.265,0.04852336161603535,0.019191273077206472,0.0037279873573455302
266,0.266,0.04887923642002068,0.020612484658602437,0.003760072130764791
267,0.267,0.049111180178989966,0.02220902318569673,0.003794583498658688
268,0.268,0.04923848143062687,0.024000157933084076,0.0038425895448896408
269,0.269,0.04928566779651247,0.025987003514565954,0.003914314057277157
270,0.27,0.04928014754353481,0.028149014431025243,0.0040172861534013005
271,0.271,0.049249311547843816,0.030443591202910403,0.004154788732010861
272,0.272,0.04921744508866863,0.03280906372593906,0.00432483091536634
273,0.273,0.0492028426073305,0.03517082600805954,0.0045197743654844524
274,0.274,0.04921550946907034,0.03744986400770911,0.004726648997204486
275,0.275,0.0492557770813552,0.03957242134185257,0.004928114426703101
276,0.276,0.04931405628638602,0.04147920150504181,0.005103964515092818
277,0.277,0.04937181717674535,0.043132442974128105,0.005233033657386976
278,0.278,0.04940372611984968,0.04451952024255512,0.005295341733646652
279,0.279,0.049380712501369606,0.0456524059358665,0.005274303227703281
280,0.28,0.04927359909142692,0.04656321846027289,0.005158816419560397
281,0.281,0.04905682959697294,0.047296916368128494,0.0049450356099878245
282,0.28200000000000003,0.04871178139699431,0.04790273655260835,0.0046376185191638886
283,0.28300000000000003,0.04822917577957557,0.04842608343983246,0.00425025122249012
284,0.28400000000000003,0.04761020372446535,0.04890229532671375,0.003805307437262262
285,0.28500000000000003,0.046866172918023766,0.04935318727551363,0.003332605471686345
286,0.28600000000000003,0.04601673054767744,0.04978666858357117,0.0028673623018210526
287,0.28700000000000003,0.04508697950869177,0.05019919006370166,0.0024475648806293604
288,0.28800000000000003,0.044104018605805595,0.05058036676243727,0.0021110439784087776
289,0.289,0.04309354138738021,0.0509188707434447,0.0018925360543244896
290,0.29,0.04207709437996571,0.05120859138705436,0.0018209758336714676
291,0.291,0.04107043396006198,0.05145409735900375,0.0019172098641851987
292,0.292,0.04008317310348666,0.0516745781310155,0.002192282688177838
293,0.293,0.03911963122269531,0.05190566380370276,0.002646427091669956
294,0.294,0.03818055189078781,0.05219878959368218,0.003268878515484075
295,0.295,0.03726518917885216,0.052618057475164015,0.004038615395528855
296,0.296,0.03637322212485468,0.05323482863212303,0.00492608431949404
297,0.297,0.035506045657299465,0.05412053925951643,0.005895879735159704
298,0.298,0.03466717327801372,0.05533845696874384,0.0069101853746011965
299,0.299,0.03386171283386377,0.05693527607651516,0.007932536466945361
300,0.3,0.03309508153837995,0.05893357538741717,0.00893119218491667
301,0.301,0.032371270619202086,0.061326212044122475,0.009881308928063381
302,0.302,0.0316910400243363,0.06407366879883825,0.010765392869563462
303,0.303,0.031050423762398027,0.0671051691046024,0.011572143871239837
304,0.304,0.03043986835565579,0.07032398496816583,0.012294395151279947
305,0.305,0.029844223581961316,0.07361677090477525,0.012927034117589997
306,0.306,0.029243669249659085,0.07686600645262875,0.0134655673522871
307,0.307,0.02861550890163514,0.07996385192025635,0.013905630910340583
308,0.308,0.027936609921944328,0.08282513804866576,0.014243445848465486
309,0.309,0.02718614362296848,0.08539706762387289,0.014477017153764704
310,0.31,0.026348205242590184,0.087663663612922,0.014607741988139411
311,0.311,0.025413894293362674,0.08964401051953708,0.014642013861829395
312,0.312,0.024382517716317678,0.09138463711835643,0.014592392017040545
313,0.313,0.023261728130301446,0.0929475964758415,0.014477962867621486
314,0.314,0.022066594574366744,0.09439658627038461,0.014323650880045835
315,0.315,0.02081778274595668,0.09578367531859988,0.014158419153293078
316,0.316,0.01953916024630395,0.09713891293358079,0.014012503064127602
317,0.317,0.018255218313592073,0.09846446297911671,0.013914010054841497
318,0.318,0.016988709125722687,0.0997341057320309,0.013885366406717448
319,0.319,0.015758842627654285,0.10089812421591682,0.013940176600008014
320,0.32,0.014580280484578823,0.10189282088095375,0.014081069421377435
321,0.321,0.013463021014555918,0.10265324945745236,0.014299032377716459
322,0.322,0.012413104430936822,0.10312724759890535,0.014574585160501696
323,0.323,0.01143390600818063,0.1032885807521049,0.014880920393986141
324,0.324,0.010527660194434296,0.10314701952651717,0.015188844200644258
325,0.325,0.009696811284464757,0.10275350972360586,0.015472960608121089
326,0.326,0.008944842614362986,0.10219924075524012,0.015718057180475142
327,0.327,0.00827638620105757,0.10160829146387174,0.015924195994554857
328,0.328,0.007696608071739566,0.10112449369289944,0.016108959348168028
329,0.329,0.007210037503479663,0.10089404507007849,0.016305972569053084
330,0.33,0.006819118471345073,0.10104608925308245,0.016559976947330912
